kepid,koi_disposition,koi_period,koi_prad,koi_teq,koi_score,koi_steff,koi_srad,koi_insol,stellar_class,is_planet,transit_ratio
5252423,CONFIRMED,4.71510843,1.46,823.0,1.0,4861.0,0.732,108.84,K,1,88.54515356288424
5272878,CONFIRMED,6.365839713,2.44,914.0,1.0,5776.0,0.849,165.33,G,1,122.63896598051213
5283542,FALSE POSITIVE,5.97581754,3.86,1047.0,0.037,6108.0,0.997,284.25,F,0,161.04909387845868
5649215,FALSE POSITIVE,2.446737317,26.25,1261.0,0.0,5764.0,0.863,597.19,G,0,481.41661624887865
5651104,CONFIRMED,3.04033046,8.99,1021.0,1.0,5035.0,0.791,257.29,K,1,1597.425037803292
5792202,CONFIRMED,15.33528675,5.0,610.0,1.0,5251.0,0.817,32.67,G,1,200.93527106690718
10875245,CONFIRMED,7.95825328,1.06,1074.0,0.998,5847.0,1.402,314.15,G,1,6.282785711992318
5792202,CONFIRMED,31.33046135,6.5,481.0,1.0,5251.0,0.817,12.61,G,1,155.0152723812348
5370302,FALSE POSITIVE,3.9043425,12.28,1104.0,0.006,5810.0,0.898,351.05,G,0,1243.9226322998047
5372966,FALSE POSITIVE,9.286358079,17.61,796.0,0.0,5670.0,0.821,95.03,G,0,522.9929708378199
5376067,FALSE POSITIVE,3.951405455,31.44,1133.0,0.0,6046.0,0.869,388.71,F,0,621.0195405016973
5436502,CONFIRMED,23.65369415,7.89,731.0,0.999,5739.0,1.384,67.65,G,1,141.2802574857002
5436502,CONFIRMED,13.23352214,3.06,888.0,0.996,5739.0,1.384,146.67,G,1,38.13043834148903
5436502,CONFIRMED,6.15560285,2.32,1146.0,0.997,5739.0,1.384,406.94,G,1,46.299283261914795
5436502,CONFIRMED,2.090811305,1.62,1642.0,1.0,5739.0,1.384,1718.04,G,1,55.43302722863363
10875245,CONFIRMED,3.180027898,1.53,1458.0,0.995,5847.0,1.402,1066.86,G,1,37.829856799577044
5436502,CONFIRMED,50.4467417,2.67,568.0,0.989,5739.0,1.384,24.64,G,1,7.340414613933333
