pl_name,hostname,discoverymethod,disc_year,disc_facility,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_insol,st_teff,st_rad,st_mass,st_logg,st_met,sy_dist,ra,dec,planet_type,habitable_zone,stellar_class,disc_decade,mass_radius_ratio
HD 104067 b,HD 104067,Radial Velocity,2009,La Silla Observatory,55.851,9.2,62.1,823.0,0.2674,100.0,4952.0,0.78,0.82,4.56,0.11,20.3632,179.7923543,-20.3556058,Gas Giant,0.0,K,2000.0,6.750000000000001
HD 104067 c,HD 104067,Radial Velocity,2024,Multiple Observatories,13.8992,3.69,13.2,823.0,0.1058,100.0,4952.0,0.78,0.82,4.56,0.11,20.3632,179.7923543,-20.3556058,Neptune-like,0.0,K,2020.0,3.5772357723577235
HD 10442 b,HD 10442,Radial Velocity,2014,W. M. Keck Observatory,122.6058548,13.6,472.61321,823.0,0.8984999999999999,100.0,4912.0,1.97,1.01,3.19,0.11,135.374,25.471524,2.7044193,Gas Giant,0.0,K,2010.0,34.75097132352941
HD 104985 b,HD 104985,Radial Velocity,2003,Okayama Astrophysical Observatory,122.6058548,12.8,711.74876796,823.0,0.715,100.0,4738.0,2.9126400000000006,1.22,2.42,-0.32,100.576,181.3157854,76.9053359,Gas Giant,0.0,K,2000.0,55.605372496875
HD 105618 b,HD 105618,Radial Velocity,2022,Multiple Observatories,10.02245,5.44,25.42627256,823.0,0.091,100.0,5671.0,1.27399,1.01,4.23206,0.016687125907561565,70.0837,182.4021288,11.2115695,Gas Giant,0.0,G,2020.0,4.673947161764706
HD 105618 c,HD 105618,Radial Velocity,2022,Multiple Observatories,122.6058548,11.9,711.74876796,823.0,0.8984999999999999,100.0,5671.0,1.27399,1.01,4.23206,0.016687125907561565,70.0837,182.4021288,11.2115695,Gas Giant,0.0,G,2020.0,59.81082083697479
HD 105779 b,HD 105779,Radial Velocity,2022,La Silla Observatory,122.6058548,14.1,203.41018048,823.0,0.8984999999999999,100.0,5792.0,0.94,0.89,4.36,-0.25,55.2411,182.6612053,-16.9564908,Gas Giant,0.0,G,2020.0,14.426253934751774
HD 106252 b,HD 106252,Radial Velocity,2002,Lick Observatory,122.6058548,12.5,711.74876796,823.0,0.8984999999999999,100.0,5874.0,1.05,1.05,4.36,-0.06,38.185,183.3730583,10.0404302,Gas Giant,0.0,G,2000.0,56.9399014368
HD 106270 b,HD 106270,Radial Velocity,2011,W. M. Keck Observatory,122.6058548,12.4,711.74876796,823.0,0.8984999999999999,100.0,5509.0,2.66,1.39,3.72,0.06,93.808,183.4049258,-9.5135645,Gas Giant,0.0,G,2010.0,57.39909419032258
HD 106315 b,HD 106315,Transit,2017,K2,9.55237,2.44,12.6,1153.0,0.0907,277.0,6327.0,1.296,1.091,4.252,-0.311,109.353,183.4724742,-0.3934357,Neptune-like,0.0,F,2010.0,5.163934426229508
HD 106315 c,HD 106315,Transit,2017,K2,21.05704,4.35,15.2,886.0,0.1536,97.0,6327.0,1.296,1.091,4.252,-0.311,109.353,183.4724742,-0.3934357,Gas Giant,0.0,F,2010.0,3.4942528735632186
HD 10647 b,HD 10647,Radial Velocity,2006,W. M. Keck Observatory,122.6058548,13.8,298.75,823.0,0.8984999999999999,100.0,6218.0,1.1,1.11,4.62,0.0,17.3357,25.6233526,-53.7412852,Gas Giant,0.0,F,2000.0,21.64855072463768
HD 106515 A b,HD 106515 A,Radial Velocity,2012,La Silla Observatory,122.6058548,12.1,711.74876796,823.0,0.8984999999999999,100.0,5362.0,0.91,0.89,4.41,0.03,34.0915,183.7762699,-7.2575413,Gas Giant,0.0,G,2010.0,58.822212228099175
HD 106906 b,HD 106906,Imaging,2013,Las Campanas Observatory,10.67607169,12.4,711.74876796,1800.0,0.8984999999999999,100.0,6516.0,2.12351,1.5,3.90453,0.04,103.029,184.4713308,-55.9755805,Gas Giant,0.0,F,2010.0,57.39909419032258
HD 10697 b,HD 10697,Radial Velocity,1999,W. M. Keck Observatory,122.6058548,12.8,711.74876796,823.0,0.8984999999999999,100.0,5641.0,1.863076,0.99,3.957761,0.17,33.1205,26.2324076,20.0826974,Gas Giant,0.0,G,1990.0,55.605372496875
HD 107148 b,HD 107148,Radial Velocity,2005,W. M. Keck Observatory,48.056,9.6,66.741,823.0,0.269,100.0,5797.0,1.169193,1.12,4.446,0.314,49.4156,184.8059773,-3.3199927,Gas Giant,0.0,G,2000.0,6.9521875
HD 107148 c,HD 107148,Radial Velocity,2021,Multiple Observatories,18.3267,4.7,19.89605828,823.0,0.1407,100.0,5752.92,1.169193,1.105215,4.345025,0.2964,49.4156,184.8059773,-3.3199927,Gas Giant,0.0,G,2020.0,4.233203889361701
HD 108147 b,HD 108147,Radial Velocity,2002,La Silla Observatory,10.8985,10.9,82.95,890.0,0.102,100.0,6255.73,1.20664,1.22,4.36127,0.1803,38.92,186.4409852,-64.0223492,Gas Giant,0.0,F,2000.0,7.610091743119266
HD 108202 b,HD 108202,Radial Velocity,2023,La Silla Observatory,122.6058548,13.1,711.74876796,823.0,0.8984999999999999,100.0,4556.03,0.66355,0.74,4.65165,0.3048,38.6846,186.4613189,-1.1109233,Gas Giant,0.0,K,2020.0,54.33196701984733
HD 108236 b,HD 108236,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),3.795963,1.615,3.24,1099.0,0.04527,312.1807,5660.0,0.877,0.869,4.49,-0.28,64.5978,186.5740627,-51.3630519,Super-Earth,0.0,G,2020.0,2.0061919504643964
HD 108236 c,HD 108236,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),6.203449,2.071,4.94,932.0,0.062,162.1675,5660.0,0.877,0.869,4.49,-0.28,64.5978,186.5740627,-51.3630519,Neptune-like,0.0,G,2020.0,2.385321100917431
HD 108236 e,HD 108236,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),19.590025,3.083,9.71,636.0,0.1367,35.0031,5660.0,0.877,0.869,4.49,-0.28,64.5978,186.5740627,-51.3630519,Neptune-like,0.0,G,2020.0,3.1495296788842038
HD 108236 f,HD 108236,Transit,2021,CHaracterising ExOPlanets Satellite (CHEOPS),29.54115,2.017,4.72,823.0,0.1758,100.0,5660.0,0.877,0.869,4.49,-0.28,64.5978,186.5740627,-51.3630519,Neptune-like,0.0,G,2020.0,2.3401090728805154
HD 108341 b,HD 108341,Radial Velocity,2014,La Silla Observatory,122.6058548,13.3,711.74876796,823.0,0.8984999999999999,100.0,5122.0,0.79,0.843,4.45,0.04,48.9102,186.8791724,-71.4224896,Gas Giant,0.0,K,2010.0,53.51494495939849
HD 108863 b,HD 108863,Radial Velocity,2011,W. M. Keck Observatory,122.6058548,13.3,711.74876796,823.0,0.8984999999999999,100.0,4878.0,2.9126400000000006,1.59,3.07,0.2,164.742,187.5826081,21.9480993,Gas Giant,0.0,K,2010.0,53.51494495939849
HD 108874 b,HD 108874,Radial Velocity,2002,W. M. Keck Observatory,122.6058548,13.6,451.3186,823.0,0.8984999999999999,100.0,5600.0,1.05,1.1,4.44,0.26,59.5175,187.6126029,22.8794399,Gas Giant,0.0,G,2000.0,33.18519117647059
HD 108874 c,HD 108874,Radial Velocity,2005,W. M. Keck Observatory,122.6058548,13.8,314.64,823.0,0.8984999999999999,100.0,5551.0,1.05,0.95,4.44,0.19,59.5175,187.6126029,22.8794399,Gas Giant,0.0,G,2000.0,22.799999999999997
HD 109246 b,HD 109246,Radial Velocity,2010,Haute-Provence Observatory,68.27,13.9,273.3338,823.0,0.33,100.0,5844.0,1.07,1.2,4.46,0.1,67.8349,188.027184,74.4893379,Gas Giant,0.0,G,2010.0,19.66430215827338
HD 109271 b,HD 109271,Radial Velocity,2013,La Silla Observatory,7.8543,4.31,17.162,823.0,0.079,100.0,5783.0,1.294595,1.047,4.28,0.1,55.8716,188.397397,-11.6215204,Gas Giant,0.0,G,2010.0,3.9819025522041764
